id,company,linkedin_company_id,location,city,contacts,priority,status,roles_of_interest,notes
1,Lumora Commerce,18472901,Local,Seattle WA,Priya Natarajan,High,Active,"Senior PM, Lead PM",Headless commerce platform; warm intro via Priya
2,Northwave Pay,22918044,Local,Bellevue WA,,High,Researching,"Senior PM, PM",Payments infra; Series C; known for strong PM culture
3,Cascade Goods,30041726,Local,Seattle WA,Daniel Ortiz,High,Researching,"Senior PM, Lead PM",DTC home goods; Daniel is a former teammate from Zulily era
4,Driftline Logistics,15820377,Local,Bellevue WA,,High,Researching,"Senior PM, PM",E-com fulfillment SaaS; high-growth
5,Stonebridge Financial,9384125,Remote,Remote US,,Medium,Researching,"Senior PM, Principal PM",Consumer lending; remote-first
6,Pinecrest Apparel,11290663,Remote/Hybrid,Portland OR,,Medium,Researching,"Senior PM, PM",E-com fashion; hybrid Portland HQ acceptable
7,Halcyon Marketplace,7611208,Remote,Remote US,Mira Sato,Medium,Active,"Senior PM, Lead PM",B2B marketplace; Mira is a strong intro path
8,Beacon Reserve,28430195,Local,Seattle WA,,Medium,Researching,"Senior PM, PM",Banking-as-a-service; Seattle hybrid
9,Tidewater Outfitters,4720918,Local,Seattle WA,,Low,Researching,"Senior PM, PM",Outdoor DTC; smaller team but interesting brand
10,Maplecrest Software,19086427,Remote,Remote US,,Medium,Researching,"Senior PM, PM",E-com SaaS for SMB; fully remote
11,Vesper Banking,33718064,Remote,Remote US,Jordan Reeves,High,Active,"Senior PM, Lead PM",Neobank; Jordan worked with me at Stitch Fix
12,Glasspoint Retail,12506839,Local,Bellevue WA,,Medium,Researching,"Senior PM, PM",Omnichannel retail tech; enterprise customers
13,Onyxgate Health,8245009,Remote,Remote US,,Low,Researching,"Senior PM, PM",Health-tech e-commerce; tangential but growing
14,Brightspun Goods,5129483,Local,Tacoma WA,,Low,Closed,"Senior PM, PM",DTC homewares; hiring freeze announced May 2026
15,Riverlane Tech,17390246,Remote,Remote US,,Medium,Researching,"Senior PM, Lead PM",E-com platform for niche verticals; remote-first
